Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1911,51,,,,51000000,,,,,
1918,105,,,,55000000,,,,,
1924,174,,,,59000000,,,,,
1940,60,,,,73100000,,,,,
1950,211,0,25,25,83200000,,,,,82802084
1960,2502,,,,93357000,,,,,93673612
1965,7953,,,,97342000,,,,,98447007
1967,9484,,,,99711000,,,,,100822283
1970,11868,,,,103708000,,,,,104929260
1971,14890,,,,105143000,,,,,106427102
1975,27516,,,,110808000,,,,,112413362
1977,31948,,,,113071000,,,,,114827826
1979,45958,,,,114996000,,,,,116867356
1981,65682,,,,116824000,,,,,118732838
1983,70998,,,,118554000,,,,,120427643
1985,82000,,,,119991000,,,,,121883483
1987,85000,114,144,258,121024000,23,15,9,1,123072720
1989,91000,118,146,264,121833000,23,15,9,1,124058517
1991,99000,116,158,274,122703000,22,18,10,1,124929764
1993,103000,132,157,289,123653000,25,21,10,1,125707407
1995,106000,130,163,293,124487000,25,21,10,1,126365486
1997,108000,137,158,295,125092000,26,22,9,1,126892745
1999,110987,170,147,317,125532000,30,20,9,2,127326063
2000,112203,175,142,317,125720000,31,19,9,2,127524168
2001,117329,172,142,314,125974000,30,19,8,2,127713824
2002,118508,173,141,314,126249000,30,19,8,2,127893075
2003,119267,166,143,309,126524000,30,19,8,2,128058368
2004,120197,166,142,308,126773000,30,18,8,2,128204183
2005,121068,167,141,308,126979000,30,16,8,2,128326115
2006,121774,165,133,298,127136000,29,14,8,2,128422740
2007,122442,165,129,294,127249000,29,14,7,2,128494050
2008,123245,163,125,288,127319000,29,14,7,2,128538644
2009,124041,164,124,288,127353000,29,14,7,3,128555196
2010,125107,160,126,286,127353000,28,15,6,3,128542349
2011,125744,159,124,283,127319000,28,15,6,3,128498966
2012,126407,164,117,281,127250000,29,13,6,3,128423571
2013,126981,164,115,279,127144000,29,13,7,3,128314189
2014,127635,158,109,267,127000000,28,13,7,3,128168630
2015,128216,159,107,266,126919659,28,13,7,3,127985139
2016,128856,158,107,265,126702133,28,13,7,3,127763267
2017,129335,157,104,261,126451398,28,13,7,3,127502728
2018,129858,157,104,261,126168156,28,13,7,3,127202190
2019,130340,157,104,261,125837814,28,13,6,4,126860299
2020,,156,104,260,,28,13,6,3,126476458
2021,130260,152,99,251,,25,13,6,3,126050796
