Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1983,2255,,,,81636000,0,,1,0,79414841
1985,5500,,,,83902000,,,,,83562776
1987,8000,6,50,56,90364000,1,8,2,0,88048029
1989,12000,6,66,72,95133000,1,9,2,0,92788039
1991,18000,13,73,86,99986000,2,9,2,0,97667632
1993,22000,17,109,126,104932000,3,15,4,0,102700751
1995,28000,19,109,128,110015000,3,16,3,0,107948339
1997,33000,54,94,148,115269000,8,11,3,0,113457661
1999,42746,73,112,185,120784000,11,13,3,0,119260055
2000,49935,79,115,194,123689000,11,12,3,1,122283853
2001,55199,90,113,203,126705000,12,11,3,1,125394046
2002,60087,107,113,220,129832000,13,10,5,1,128596079
2003,64151,109,118,227,133067000,14,11,5,1,131900633
2004,68777,112,125,237,136399000,14,11,5,1,135320420
2005,74055,109,130,239,139823000,14,13,5,1,138865014
2006,79482,116,138,254,143339000,15,14,5,1,142538305
2007,83919,120,136,256,146951000,16,14,5,1,146339971
2008,88374,124,136,260,150666000,16,15,5,1,150269622
2009,93532,129,160,289,154488000,16,17,4,1,154324939
2010,98359,139,167,306,158423000,16,21,4,1,158503203
2011,103898,139,176,315,162471000,18,21,4,1,162805080
2012,109998,154,196,350,166629000,21,20,4,1,167228803
2013,118139,171,207,378,173615000,22,22,5,1,171765819
2014,129989,216,200,416,178517000,26,20,5,1,176404931
2015,142033,247,207,454,181562056,33,19,5,1,181137454
2016,152903,299,201,500,186053386,42,16,6,1,185960244
2017,163745,350,251,601,190632261,45,16,6,1,190873247
2018,177280,394,255,649,203452505,54,15,7,2,195874685
2019,192144,428,294,722,208740404,59,19,7,2,200963603
2020,,446,292,738,,60,18,7,1,206139587
2021,211219,466,292,758,,62,17,7,1,211400704
