Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1975,832,0,4,4,2939000,,,,,2844925
1977,1121,,,,3044000,,,,,2945847
1979,1546,,,,3149000,,,,,3045604
1981,4255,,,,3239000,,,,,3131507
1983,6320,,,,3314000,,,,,3201864
1985,8800,,,,3379000,,,,,3263173
1987,13000,23,24,47,3439000,4,0,1,0,3318838
1989,16000,23,26,49,3497000,4,0,1,0,3373373
1991,17000,23,27,50,3563000,4,0,1,0,3435255
1993,19000,0,50,50,3623000,0,8,1,0,3503470
1995,20000,0,52,52,3690000,0,8,1,0,3567691
1997,21000,16,37,53,3747000,3,5,1,0,3621900
1999,23223,23,32,55,3787000,4,4,1,0,3659730
2000,23261,21,31,52,3797000,4,4,1,0,3668955
2001,23404,21,29,50,3799000,4,4,1,0,3670308
2002,22974,21,25,46,3795000,4,4,1,0,3664321
2003,22542,21,24,45,3785000,4,4,1,0,3653660
2004,20683,22,23,45,3773000,4,4,1,0,3642005
2005,19746,22,22,44,3761000,4,4,1,0,3631885
2006,19609,27,15,42,3750000,5,2,1,0,3623783
2007,19808,26,17,43,3739000,5,2,2,0,3616341
2008,20064,26,17,43,3729000,5,2,2,0,3608030
2009,20386,26,17,43,3719000,5,2,2,0,3596532
2010,20785,27,14,41,3710000,5,0,1,0,3579842
2011,20940,27,14,41,3701000,5,0,1,0,3559862
2012,21174,29,12,41,3694000,5,0,1,0,3536570
2013,21363,29,12,41,3688000,5,0,1,0,3503865
2014,23064,29,13,42,3484000,5,0,1,0,3453667
2015,23191,29,13,42,3598357,5,0,1,0,3381512
2016,23328,29,12,41,3578056,5,0,1,0,3283121
2017,23234,29,12,41,3351827,5,0,1,0,3163676
2018,23306,27,12,39,3294626,5,0,1,1,3039598
2019,23395,27,12,39,3189068,5,0,1,1,2933404
2020,,27,11,38,,5,0,1,0,2860840
2021,23473,27,11,38,,5,0,1,0,2828246
