Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
2004,11,0,0,0,7398000,0,0,0,0,7750003
2005,95,0,1,1,7634000,0,0,0,0,7982223
2006,159,0,1,1,7872000,0,0,0,0,8216893
2007,216,0,1,1,8113000,0,0,0,0,8454790
2008,253,0,3,3,8356000,0,0,0,0,8696915
2009,400,0,3,3,8602000,0,0,0,0,8944713
2010,550,0,3,3,8850000,0,0,0,0,9199254
2011,676,0,3,3,9100000,0,0,1,0,9460829
2012,1081,0,6,6,9352000,0,1,1,0,9729254
2013,1439,0,11,11,10323000,0,1,1,0,10004594
2014,1898,0,14,14,10600000,0,1,1,0,10286839
2015,2255,0,14,14,10448647,0,1,1,0,10575962
2016,2638,6,8,14,10741458,1,0,1,0,10872072
2017,3105,6,11,17,11038805,1,0,1,0,11175192
2018,3463,6,12,18,11340504,1,1,1,0,11485035
2019,4018,7,12,19,12102569,1,1,1,0,11801151
2020,,7,13,20,,1,1,1,0,12123198
2021,4765,13,7,20,,2,0,1,0,12451031
