Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1991,900,0,8,8,2091000,0,1,0,0
1993,1400,0,7,7,2031000,0,1,0,0
1995,1600,0,7,7,2095000,0,2,0,0
1997,2000,0,9,9,2361000,0,2,0,0
1999,2694,0,12,12,2711000,0,1,0,0
2000,2956,8,1,9,2847000,1,0,0,0
2001,3394,8,1,9,2939000,1,0,0,0
2002,3871,8,1,9,2996000,1,0,0,0
2003,4016,8,1,9,3037000,1,0,0,0
2004,4218,8,1,9,3093000,1,0,0,0
2005,4357,8,1,9,3183000,1,0,0,0
2006,4522,8,1,9,3314000,1,0,0,0
2007,4910,0,9,9,3477000,0,2,0,0
2008,5039,0,11,11,3658000,0,2,0,0
2009,5251,0,12,12,3836000,0,2,0,0
2010,5447,0,13,13,3994000,0,2,0,0
2011,5863,0,18,18,4129000,0,2,0,0
2012,6709,0,20,20,4245000,0,2,0,0
2013,8081,0,22,22,4294000,0,2,1,0
2014,8929,0,24,24,4397000,0,3,1,0
2015,9675,0,24,24,4195666,0,3,1,0
2016,11135,6,24,30,4299944,1,3,1,0
2017,12157,26,9,35,4689021,4,0,1,0
2018,13275,33,15,48,4809768,4,1,1,0
2019,14538,38,15,53,4941532,5,1,1,0
2020,,41,16,57,,,,,
2021,,42,16,58,,,,,
