Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples,Population-WPP
1991,99,0,1,1,18156000,0,0,0,0,17953534
1993,800,0,6,6,19430000,0,2,0,0,19175986
1995,1300,0,7,7,20741000,0,2,0,0,20413157
1997,1700,0,7,7,22085000,0,2,0,0,21655392
1999,2375,0,12,12,23508000,0,2,0,0,22952406
2000,2598,0,12,12,24276000,0,2,0,0,23650159
2001,2975,0,12,12,25088000,0,2,0,0,24388974
2002,3089,0,12,12,25973000,0,2,0,0,25167261
2003,3580,0,14,14,26838000,0,2,0,0,25980547
2004,3788,0,14,14,27767000,0,2,0,0,26821300
2005,3920,0,14,14,28725000,0,2,1,0,27684590
2006,4358,0,14,14,29711000,0,2,1,0,28571475
2007,4701,0,14,14,30729000,0,2,1,0,29486335
2008,6919,0,16,16,31779000,0,2,1,0,30431734
2009,8216,0,18,18,32864000,0,2,1,0,31411096
2010,9024,6,12,18,33987000,1,1,1,0,32428164
2011,10368,6,16,22,35148000,1,1,1,0,33476771
2012,11442,6,19,25,36346000,1,1,1,0,34558700
2013,12380,6,20,26,37579000,1,1,1,0,35694519
2014,13248,7,19,26,38845000,1,1,1,0,36911530
2015,14289,12,15,27,37101745,2,0,1,0,38225447
2016,15157,12,15,27,38319241,2,0,1,0,39649173
2017,15979,16,13,29,39570125,3,0,1,0,41166588
2018,16823,16,17,33,40853749,3,0,1,0,42729032
2019,17887,16,20,36,42053358,3,3,1,0,44269587
2020,,18,18,36,,3,3,1,0,45741000
2021,18955,18,18,36,,3,3,1,0,47123533
