Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Albania,0,1,0,1,6,8,14
American Samoa,0,0,0,5,38,5,43
Angola,0,1,0,1,6,9,15
Antigua And Barbuda,0,0,0,0,0,1,1
Argentina,2,13,27,78,484,250,734
Armenia,0,1,2,0,0,11,11
Aruba,0,0,1,0,0,1,1
Australia,5,5,7,42,232,76,308
Austria,0,0,0,2,14,3,17
Bahamas,0,0,0,0,0,2,2
Bahrain,0,0,0,1,1,0,1
Barbados,0,1,1,0,0,4,4
Belarus,0,0,1,0,0,3,3
Belgium,0,0,0,2,10,2,12
Belize,0,0,2,0,0,12,12
Benin,0,1,1,1,7,13,20
Bermuda,0,0,0,0,0,1,1
Bolivia,1,5,8,33,207,63,270
Bonaire,0,0,0,0,0,1,1
Bosnia And Herzegovina,0,0,0,0,0,2,2
Botswana,0,0,0,1,9,5,14
Brazil,7,35,39,277,"1,747",394,"2,141"
British Virgin Isl,0,0,0,0,0,1,1
Bulgaria,0,1,0,0,0,7,7
Burundi,0,0,0,0,0,3,3
Cambodia,0,1,4,2,10,18,28
Cameroon,0,0,2,0,0,14,14
Canada,8,6,4,51,348,149,497
Cape Verde,0,1,2,3,24,18,42
Cayman Islands,0,0,1,0,0,1,1
Central African Republic,0,0,0,0,0,1,1
Chile,2,10,16,74,413,157,570
China,0,0,4,0,0,16,16
Colombia,2,5,9,30,176,74,250
Congo,0,1,1,2,17,10,27
Cook Islands,0,0,1,0,0,5,5
Costa Rica,1,2,1,10,59,20,79
Croatia,0,1,1,0,0,6,6
Cuba,0,0,1,0,0,4,4
Cyprus,0,0,1,0,0,4,4
Czech Republic,0,1,0,1,7,5,12
Democratic Republic Of Congo,0,4,1,23,178,33,211
Denmark,1,1,0,2,13,9,22
Djibouti,0,0,0,0,0,1,1
Dominica,0,0,0,0,0,1,1
Dominican Republic,1,3,9,21,130,66,196
Ecuador,1,5,7,42,261,52,313
Egypt,0,0,0,0,0,1,1
El Salvador,1,3,0,22,129,29,158
Estonia,0,0,1,0,0,4,4
Ethiopia,0,0,1,0,0,4,4
Falkland Islands,0,0,0,0,0,1,1
Fiji,1,1,3,4,27,24,51
Finland,1,1,2,2,15,16,31
France,1,2,2,10,68,46,114
French Guiana,0,0,0,0,0,1,1
French Polynesia,1,1,2,11,72,23,95
Gabon,0,0,0,0,0,2,2
Georgia,0,0,0,0,0,2,2
Germany,2,3,0,14,94,56,150
Ghana,1,4,11,25,188,140,328
Greece,0,0,0,0,0,3,3
Grenada,0,0,0,0,0,1,1
