Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Albania,0,1,1,1,6,8,14
American Samoa,0,0,0,5,38,5,43
Angola,0,1,1,1,8,10,18
Antigua And Barbuda,0,0,0,0,0,1,1
Argentina,2,13,27,78,484,241,725
Armenia,0,1,0,0,0,5,5
Aruba,0,0,1,0,0,1,1
Australia,5,5,7,42,235,74,309
Austria,0,0,0,2,14,3,17
Bahamas,0,0,0,0,0,2,2
Bahrain,0,0,0,1,1,0,1
Barbados,0,1,1,0,0,4,4
Belarus,0,0,1,0,0,3,3
Belgium,0,0,0,2,10,2,12
Belize,0,0,2,0,0,12,12
Benin,0,1,0,2,13,7,20
Bermuda,0,0,0,0,0,1,1
Bolivia,1,5,8,33,208,63,271
Bonaire,0,0,0,0,0,1,1
Bosnia And Herzegovina,0,0,0,0,0,2,2
Botswana,0,0,0,1,9,6,15
Brazil,7,36,40,281,"1,774",401,"2,175"
British Virgin Isl,0,0,0,0,0,1,1
Bulgaria,0,1,0,0,0,7,7
Burundi,0,0,1,0,0,3,3
Cambodia,0,1,4,2,10,18,28
Cameroon,0,1,2,0,0,14,14
Canada,9,6,3,53,352,147,499
Cape Verde,0,1,1,4,27,14,41
Cayman Islands,0,0,1,0,0,1,1
Central African Republic,0,0,0,0,0,1,1
Chile,2,10,16,74,408,160,568
China,0,0,4,0,0,16,16
Colombia,2,5,10,30,176,79,255
Congo,0,1,0,4,22,5,27
Cook Islands,0,0,1,0,0,5,5
Costa Rica,1,2,1,10,59,19,78
Croatia,0,1,1,0,0,6,6
Cuba,0,0,1,0,0,5,5
Curacao,0,1,0,0,0,1,1
Cyprus,0,0,1,0,0,4,4
Czech Republic,0,1,0,1,7,5,12
Democratic Republic Of Congo,1,4,3,25,216,39,255
Denmark,1,1,0,2,13,9,22
Djibouti,0,0,0,0,0,1,1
Dominica,0,0,0,0,0,1,1
Dominican Republic,1,3,9,21,139,62,201
Ecuador,1,6,5,42,262,53,315
Egypt,0,0,0,0,0,1,1
El Salvador,1,3,0,22,129,29,158
Estonia,0,0,1,0,0,4,4
Eswatini,0,0,0,0,0,1,1
Ethiopia,0,1,1,0,0,5,5
Falkland Islands,0,0,0,0,0,1,1
Fiji,1,1,3,4,27,26,53
Finland,1,1,0,3,18,11,29
France,1,2,2,10,68,45,113
French Guiana,0,0,0,0,0,1,1
French Polynesia,1,1,2,11,74,23,97
Gabon,0,0,0,0,0,2,2
Georgia,0,0,0,0,0,2,2
Germany,2,3,0,14,94,55,149
Ghana,1,4,9,29,195,146,341
Greece,0,0,0,0,0,2,2
Grenada,0,0,0,0,0,1,1
Guadeloupe,0,0,0,0,0,1,1
Guam,0,1,0,1,4,3,7
Guatemala,2,7,12,51,297,139,436
Guernsey,0,0,0,0,0,1,1
Guinea,0,0,0,0,0,1,1
Guyana,0,0,2,0,0,11,11
Haiti,1,1,4,5,27,21,48
Honduras,1,4,5,31,179,57,236
Hong Kong,1,1,1,6,30,5,35
Hungary,0,1,2,1,5,16,21
Iceland,0,0,0,0,0,3,3
India,0,2,3,4,21,25,46
Indonesia,0,1,1,2,15,9,24
Ireland,0,0,1,1,5,8,13
Isle Of Man,0,0,0,0,1,0,1
Israel,0,0,1,0,0,4,4
Italy,1,2,0,10,63,31,94
Ivory Coast,0,3,17,16,133,124,257
Jamaica,0,1,1,1,6,13,19
Japan,3,6,13,25,152,99,251
Jordan,0,0,1,0,0,3,3
Kazakhstan,0,0,0,0,0,2,2
Kenya,0,1,6,2,13,44,57
Kiribati,0,0,3,2,12,30,42
Kosovo,0,0,0,0,0,2,2
Kuwait,0,0,0,0,1,0,1
Latvia,0,1,1,0,0,5,5
Lebanon,0,0,0,0,0,1,1
Lesotho,0,0,1,0,0,6,6
Liberia,0,1,1,5,42,16,58
Lithuania,0,0,1,0,0,5,5
Luxembourg,0,0,0,0,1,1,2
Macau,0,0,1,0,0,2,2
Macedonia,0,0,0,0,0,1,1
Madagascar,0,1,3,2,17,25,42
Malawi,0,0,2,0,0,10,10
Malaysia,0,0,5,0,0,27,27
Mali,0,0,0,0,0,1,1
Malta,0,0,0,0,0,1,1
Marshall Islands,0,1,0,2,12,1,13
Martinique,0,0,0,0,0,1,1
Mauritius,0,0,1,0,0,3,3
Mexico,13,32,47,222,"1,355",494,"1,849"
Micronesia,0,0,2,1,6,17,23
Moldova,0,0,0,0,0,2,2
Mongolia,0,1,1,2,12,12,24
Montenegro,0,0,0,0,0,1,1
Morocco,0,0,0,0,0,1,1
Mozambique,0,2,1,5,31,19,50
Namibia,0,0,1,0,0,5,5
Nauru,0,0,0,0,0,1,1
Netherlands,1,1,0,3,20,4,24
Netherlands Antilles,0,0,0,0,0,1,1
New Caledonia,0,0,0,1,6,3,9
New Zealand,1,3,2,30,177,52,229
Nicaragua,0,2,4,12,71,38,109
Nigeria,1,7,17,62,466,292,758
Niue,0,0,0,0,0,2,2
Norway,0,1,0,2,11,9,20
Oman,0,0,0,0,0,1,1
Pakistan,0,1,3,0,0,13,13
Panama,1,1,4,7,44,29,73
Papua New Guinea,0,2,12,2,10,76,86
Paraguay,1,2,9,11,61,72,133
Peru,3,14,17,112,667,113,780
Philippines,2,23,56,123,770,486,"1,256"
Poland,0,1,1,0,0,11,11
