Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Albania,0,1,0,1,6,8,14
American Samoa,0,0,0,5,38,5,43
Angola,0,1,0,1,6,9,15
Antigua And Barbuda,0,0,0,0,0,1,1
Argentina,2,14,29,77,490,261,751
Armenia,0,1,2,0,0,11,11
Aruba,0,0,1,0,0,1,1
Australia,5,5,8,41,224,79,303
Austria,0,0,0,2,14,3,17
Bahamas,0,0,0,0,0,2,2
Bahrain,0,0,0,1,0,1,1
Barbados,0,1,1,0,0,3,3
Belarus,0,0,1,0,0,3,3
Belgium,0,0,0,2,10,2,12
Belize,0,0,2,0,0,12,12
Benin,0,1,1,1,6,13,19
Bermuda,0,0,0,0,0,1,1
Bolivia,1,5,8,33,195,62,257
Bonaire,0,0,0,0,0,1,1
Bosnia And Herzegovina,0,0,0,0,0,2,2
Botswana,0,0,0,1,8,6,14
Brazil,6,35,38,273,"1,692",417,"2,109"
British Virgin Isl,0,0,0,0,0,1,1
Bulgaria,0,1,0,0,0,7,7
Burundi,0,0,0,0,0,3,3
Cambodia,0,1,4,2,10,19,29
Cameroon,0,0,2,0,0,13,13
Canada,8,7,3,50,345,147,492
Cape Verde,0,1,2,3,24,18,42
Cayman Islands,0,0,1,0,0,1,1
Central African Republic,0,0,0,0,0,1,1
Chile,2,10,16,77,430,160,590
China,0,0,4,0,0,17,17
Colombia,2,5,10,29,168,79,247
Congo,0,1,1,2,15,11,26
Cook Islands,0,0,1,0,0,5,5
Costa Rica,1,2,2,10,59,20,79
Croatia,0,1,1,0,0,6,6
Cuba,0,0,1,0,0,3,3
Curacao,0,0,0,0,0,2,2
Cyprus,0,0,1,0,0,4,4
Czech Republic,0,1,0,1,7,5,12
Democratic Republic Of Congo,0,3,3,19,153,43,196
Denmark,1,1,0,2,13,9,22
Djibouti,0,0,0,0,0,1,1
Dominica,0,0,0,0,0,1,1
Dominican Republic,1,3,9,20,129,66,195
Ecuador,1,5,9,42,245,60,305
Egypt,0,0,0,0,0,1,1
El Salvador,1,3,0,22,134,29,163
Estonia,0,0,1,0,0,4,4
Ethiopia,0,0,1,0,0,4,4
Falkland Islands,0,0,0,0,0,1,1
Fiji,1,1,3,4,27,23,50
Finland,1,1,2,2,15,15,30
France,1,2,1,10,68,45,113
French Guiana,0,0,0,0,0,1,1
French Polynesia,1,1,3,10,71,23,94
Gabon,0,0,0,0,0,2,2
Georgia,0,0,0,0,0,2,2
Germany,2,3,0,14,94,58,152
Ghana,1,4,11,24,174,140,314
Greece,0,0,0,0,0,3,3
